rank,first_name,last_name,team,pos,id
1,Saquon,Barkley,NYG,RB,3929630
2,Ezekiel,Elliott,DAL,RB,3051392
3,Christian,McCaffrey,CAR,RB,3117251
4,Alvin,Kamara,NO,RB,3054850
5,David,Johnson,ARI,RB,2508176
6,Davante,Adams,GB,WR,16800
7,DeAndre,Hopkins,HOU,WR,15795
8,Todd,Gurley II,LAR,RB,2977644
9,James,Conner,PIT,RB,3045147
10,Odell,Beckham Jr.,CLE,WR,16733
11,Joe,Mixon,CIN,RB,3116385
12,Julio,Jones,ATL,WR,13982
13,JuJu,Smith-Schuster,PIT,WR,3120348
14,Dalvin,Cook,MIN,RB,3116593
15,Michael,Thomas,NO,WR,2976316
16,Tyreek,Hill,KC,WR,3116406
17,Travis,Kelce,KC,TE,15847
18,Nick,Chubb,CLE,RB,3128720
19,Mike,Evans,TB,WR,16737
20,Josh,Jacobs,OAK,RB,4047365
21,Le'Veon,Bell,NYJ,RB,15825
22,Antonio,Brown,NE,WR,13934
23,Aaron,Jones,GB,RB,3042519
24,Keenan,Allen,LAC,WR,15818
25,Chris,Carson,SEA,RB,3919596
26,Kerryon,Johnson,DET,RB,3916925
27,Adam,Thielen,MIN,WR,16460
28,Devonta,Freeman,ATL,RB,16944
29,Patrick,Mahomes,KC,QB,3139477
30,Amari,Cooper,DAL,WR,2976499
31,Leonard,Fournette,JAC,RB,3115364
32,George,Kittle,SF,TE,3040151
33,Zach,Ertz,PHI,TE,15835
34,Robert,Woods,LAR,WR,15880
35,Cooper,Kupp,LAR,WR,2977187
36,Sony,Michel,NE,RB,3128721
37,David,Montgomery,CHI,RB,4035538
38,Chris,Godwin,TB,WR,3116165
39,Derrius,Guice,WAS,RB,3843750
40,Marlon,Mack,IND,RB,3139605
41,Stefon,Diggs,MIN,WR,2976212
42,Mark,Ingram II,BAL,RB,13981
43,Deshaun,Watson,HOU,QB,3122840
44,Derrick,Henry,TEN,RB,3043078
45,T.Y.,Hilton,IND,WR,14924
46,Damien,Williams,KC,RB,17359
47,Brandin,Cooks,LAR,WR,16731
48,Tyler,Lockett,SEA,WR,2577327
49,Julian,Edelman,NE,WR,12649
50,James,White,NE,RB,16913
51,Kenny,Golladay,DET,WR,2974858
52,Tyler,Boyd,CIN,WR,3045144
53,DJ,Moore,CAR,WR,3915416
54,Tevin,Coleman,SF,RB,2979477
55,Robby,Anderson,NYJ,WR,2574808
56,Evan,Engram,NYG,TE,3051876
57,Melvin,Gordon,LAC,RB,2576434
58,A.J.,Green,CIN,WR,13983
59,Duke,Johnson Jr.,HOU,RB,2969962
60,Alshon,Jeffery,PHI,WR,14912
61,Mike,Williams,LAC,WR,3045138
62,Emmanuel,Sanders,DEN,WR,13295
63,O.J.,Howard,TB,TE,3043080
64,Austin,Ekeler,LAC,RB,3068267
65,Devin,Singletary,BUF,RB,4040761
66,Hunter,Henry,LAC,TE,3046439
67,Latavius,Murray,NO,RB,15920
68,Miles,Sanders,PHI,RB,4045163
69,LeSean,McCoy,KC,RB,12514
70,Vance,McDonald,PIT,TE,15853
71,Phillip,Lindsay,DEN,RB,3052117
72,Dede,Westbrook,JAC,WR,3892889
73,Will,Fuller V,HOU,WR,3052876
74,Aaron,Rodgers,GB,QB,8439
75,Baker,Mayfield,CLE,QB,3052587
76,Carson,Wentz,PHI,QB,2573079
77,Matt,Ryan,ATL,QB,11237
78,Sterling,Shepard,NYG,WR,2976592
79,Sammy,Watkins,KC,WR,16725
80,Allen,Robinson,CHI,WR,16799
81,Tyrell,Williams,OAK,WR,2587819
82,Kyler,Murray,ARI,QB,3917315
83,Josh,Gordon,NE,WR,15705
84,Jordan,Howard,PHI,RB,3060022
85,Jarvis,Landry,CLE,WR,16790
86,Royce,Freeman,DEN,RB,3122672
87,Ben,Roethlisberger,PIT,QB,5536
88,Christian,Kirk,ARI,WR,3895856
89,Rashaad,Penny,SEA,RB,3139925
90,Calvin,Ridley,ATL,WR,3925357
91,Jared,Cook,NO,TE,12537
92,Matt,Breida,SF,RB,3049916
93,Kalen,Ballage,MIA,RB,3128774
94,Curtis,Samuel,CAR,WR,3121427
95,Donte,Moncrief,PIT,WR,16791
96,Kenyan,Drake,MIA,RB,2979843
97,Geronimo,Allison,GB,WR,3115913
98,Cam,Newton,CAR,QB,13994
99,Marvin,Jones Jr.,DET,WR,15072
100,Marquez,Valdes-Scantling,GB,WR,3051738
101,Darrell,Henderson,LAR,RB,4039359
102,Jared,Goff,LAR,QB,3046779
103,Larry,Fitzgerald,ARI,WR,5528
104,Jamison,Crowder,NYJ,WR,2576716
105,Austin,Hooper,ATL,TE,3043275
106,Tom,Brady,NE,QB,2330
107,Anthony,Miller,CHI,WR,3050487
108,Tarik,Cohen,CHI,RB,3066158
109,Frank,Gore,BUF,RB,8479
110,Delanie,Walker,TEN,TE,9761
111,Drew,Brees,NO,QB,2580
112,Jameis,Winston,TB,QB,2969939
113,Corey,Davis,TEN,WR,3042778
114,Dante,Pettis,SF,WR,3127306
115,Tony,Pollard,DAL,RB,3916148
116,Carlos,Hyde,HOU,RB,16777
117,Darren,Waller,OAK,TE,2576925
118,Peyton,Barber,TB,RB,3051902
119,Ronald,Jones,TB,RB,3912550
120,Courtland,Sutton,DEN,WR,3128429
121,Dion,Lewis,TEN,RB,14198
122,Greg,Olsen,CAR,TE,10475
123,Alexander,Mattison,MIN,RB,4048244
124,Justin,Jackson,LAC,RB,3116136
125,Russell,Wilson,SEA,QB,14881
126,DeSean,Jackson,PHI,WR,11283
127,Mitchell,Trubisky,CHI,QB,3039707
128,Lamar,Jackson,BAL,QB,3916387
129,Jack,Doyle,IND,TE,16504
130,Michael,Gallup,DAL,WR,4036348
131,Jamaal,Williams,GB,RB,2980453
132,Malcolm,Brown,LAR,RB,2570986
133,John,Brown,BUF,WR,16804
134,Kenny,Stills,HOU,WR,16016
135,Albert,Wilson,MIA,WR,17051
136,Devin,Funchess,IND,WR,2977609
137,Justice,Hill,BAL,RB,4038441
138,Rashard,Higgins,CLE,WR,3042910
139,Mohamed,Sanu,ATL,WR,14922
140,Marquise,Brown,BAL,WR,4241372
141,Bears,D/ST,CHI,DST,-16003
142,Rams,D/ST,LAR,DST,-16014
143,Jaguars,D/ST,JAC,DST,-16030
144,Vikings,D/ST,MIN,DST,-16016
145,Chargers,D/ST,LAC,DST,-16024
146,Texans,D/ST,HOU,DST,-16034
147,Patriots,D/ST,NE,DST,-16017
148,Colts,D/ST,IND,DST,-16011
149,Bills,D/ST,BUF,DST,-16002
150,Saints,D/ST,NO,DST,-16018
151,Greg,Zuerlein,LAR,K,14993
152,Stephen,Gostkowski,NE,K,9704
153,Justin,Tucker,BAL,K,15683
154,Wil,Lutz,NO,K,2985659
155,Harrison,Butker,KC,K,3055899
156,Ka'imi,Fairbairn,HOU,K,2971573
157,Robbie,Gould,SF,K,9354
158,Adam,Vinatieri,IND,K,1097
159,Brett,Maher,DAL,K,16486
160,Jason,Myers,SEA,K,2473037
161,Dak,Prescott,DAL,QB,2577417
162,David,Njoku,CLE,TE,3123076
